Metabolite,RT,MZ,Intensity
15R-15-methyl PGA2,9.58,347.2231,193829.8144
15S-15-methyl PGD2,8.57,365.2335,108665.4598
15S-15-methyl PGE1,8.43,367.2492,293452.0722
15S-15-methyl PGE2,8.31,365.2335,373442.7804
15R-15-methyl PGF2a,8.13,367.2485,537138.6381
12.13-diHOME,9.98,313.2389,19501.1567
9.10-diHOME,10.2,313.2389,2943.087629
13-HODE,11.5,295.228,20243.17938
5-HETE,12.17,319.2282,7459.710309
15-HpETE,11.89,335.2208,5225.416495
levulinate,1.01,115.0388,109221.9649
hydrocinnamate,6.21,149.0597,1544.541237
2-hydroxyoctanoate,6.74,159.1016,8047.494845
3-hydroxyoctanoate,5.92,159.1017,8330.062887
caprate,10.78,171.1381,8399.48866
3-hydroxydecanoate,8.4,187.1332,19105.03608
5-dodecenoate,11.49,197.154,7682.005155
dodecanoate,12.39,199.1697,44094.0701
undecanedionate,7.12,215.1284,221505.3443
myristoleate,12.75,225.1857,46369.92165
myristate,13.78,227.2013,639966.2351
dodecanedioate,7.92,229.1443,318265.1722
pentadecanoate,14.39,241.2171,119655.5
hydroxymyristate,12.32,243.1964,6050.601031
palmitoleate,13.99,253.2173,2274962.477
palmitate,14.94,255.233,7491575.571
tetradecanedioate,9.31,257.1759,246657.7536
10-heptadecenoate,14.55,267.233,245880.5639
heptadecanoate,15.44,269.2488,320069.0742
16-hydroxypalmitate,11.04,271.2281,71719.42268
2-hydroxyhexadecanoate,13.75,271.2281,167299.8567
gamma-linolenate,13.65,277.2174,360197.2134
alpha-linolenate,13.54,277.2174,1168979.562
linoleate,14.27,279.2332,12006965.98
oleate,15.06,281.2489,14575042.44
hexadecanedioate,10.62,285.2074,185442.2103
10-nonadecenoate,15.52,295.2643,108170.0134
nonadecanoate,16.32,297.28,30343.13814
17-Methylstearate,16.17,297.28,19363.26701
eicosapentaenoate,13.41,301.2175,278886.7629
arachidonate,14.1,303.2333,2468010.396
eicosatrienoate,14.57,305.2488,382139.166
eicosadienoate,15.2,307.2642,408783.6258
eicosenoate,15.92,309.2801,280467.5371
arachidate,16.76,311.2958,121911.4742
phytanate,16.13,311.2958,51773.5
docosahexaenoate,13.88,327.2334,1707280.739
docosapentaenoate,14.24,329.2487,397735.1835
adrenate,14.85,331.2646,406714.8907
13-docosenoate,16.74,337.3115,38849.21649
eicosanedioate,13.05,341.2699,18666.56598
masilinate,11.65,471.3482,4366.752577
lithocholate,12.22,375.2907,3125.162887
chenodeoxycholate,10.39,391.2859,68550.52062
deoxycholate,10.58,391.2859,329639.2402
hyodeoxycholate/ursodeoxycholate,9.14,391.2859,40745.12474
alpha-muricholate,8.02,407.2807,2733.318557
cholate,9,407.2807,118107.4258
glycolithocholate,10.73,432.3119,13108.82062
glycochenodeoxycholate,9.13,448.3075,577888.366
glycodeoxycholate,9.37,448.3074,343470.8443
glycoursodeoxycholate,8,448.3074,99416.29691
glycocholate,8.04,464.3022,182388.6918
taurolithocholate,10.44,482.2892,3422.013402
tauro-alpha-muricholate/tauro-beta-muricholate,6.72,514.2848,9588.842268
salicylate,3.35,137.0233,356560.0278
theophylline,0.99,179.0565,32936.01856
azelate,4.57,187.0968,54297.09175
salicylurate,2.19,194.0452,60584.1299
sebacate,6.16,201.1126,182611.5701
ibuprofen,10.2,205.1228,30261.00206
2-hydroxyibuprofen,6.24,221.1179,9471.528866
naproxen,8.48,229.0867,43032.74845
carboxyibuprofen,6.42,235.0974,25266.57423
gemfibrozil,10.98,249.1495,25928.45464
hydrochlorothiazide,1.37,295.9574,30160.76907
warfarin,9.08,307.098,90430.10309
omeprazole,5.53,344.1078,4051.206186
pantroprazole,6.41,382.0684,13437.51856
cetrizine,7.51,387.1487,8722.081443
valsartan,9.11,434.2202,247962.1639
16:0 PC(O),12.33,526.3517,589695.0887
4-hydroxystyrene,2.52,119.049,1698.076289
alpha-CEHC,7.99,277.1448,4971.152577
dimethylurate,0.91,195.0516,23983.06082
fructose/glucose/galactose,0.7,179.0552,193345.166
oxypurinol,0.74,151.025,31042.95773
palmitoylethanolamide,13.48,344.2808,2874.815464
phenylacetylglutamine,1.45,263.1039,569528.733
phenyllactate,2.52,165.0547,18527.2567
(removed) pregnenolone sulfate,9.45,395.1901,107181.4144
urobilin,6.28,593.3351,5217.723711
nervonic acid,17.67,365.3425,90005.40825
3-hydroxyhexanoate,1.61,131.0702,5785.341237
9-cis-retinoic acid,12.68,299.2018,62626.81237
0.31_182.0273m/z,0.31,182.0273,10193.22784
0.31_210.0592m/z,0.31,210.0592,186192.9577
0.31_226.0540m/z,0.31,226.054,30378.23918
0.31_93.0331m/z,0.31,93.0331,411.7185567
0.31_119.9139m/z,0.31,119.9139,499.7742268
0.31_126.9634m/z,0.31,126.9634,21265.43505
0.31_141.0004m/z,0.31,141.0004,9107.483505
0.31_145.9619m/z,0.31,145.9619,16042.10722
0.31_212.1058m/z,0.31,212.1058,887.2742268
0.31_223.0278m/z,0.31,223.0278,2741.952577
0.32_78.9174m/z,0.32,78.9174,617.1958763
0.32_89.0130m/z,0.32,89.013,1057.287629
0.32_97.0029m/z,0.32,97.0029,402.8072165
0.32_109.0031m/z,0.32,109.0031,105.0134021
0.32_147.9577m/z,0.32,147.9577,639.0896907
0.32_212.0744m/z,0.32,212.0744,1223885.72
0.32_277.1445m/z,0.32,277.1445,3409.738144
0.32_79.9558m/z,0.32,79.9558,630.9505155
0.32_80.0001m/z,0.32,80.0001,420.8639175
0.32_80.9153m/z,0.32,80.9153,726.3474227
0.32_97.9995m/z,0.32,97.9995,51.44536082
0.32_156.9954m/z,0.32,156.9954,11500.9866
0.33_91.0287m/z,0.33,91.0287,730.742268
0.33_196.1699m/z,0.33,196.1699,581.6329897
0.33_208.0435m/z,0.33,208.0435,6926.420619
0.33_82.0397m/z,0.33,82.0397,234.8010309
0.33_90.0083m/z,0.33,90.0083,2835.636082
0.33_93.0080m/z,0.33,93.008,870.457732
0.33_93.0193m/z,0.33,93.0193,2775.85567
0.33_96.0554m/z,0.33,96.0554,41.43298969
0.33_99.0187m/z,0.33,99.0187,295.1247423
0.33_103.0163m/z,0.33,103.0163,316.8371134
0.33_104.0115m/z,0.33,104.0115,134.5618557
0.33_104.0242m/z,0.33,104.0242,90.39587629
0.33_108.0192m/z,0.33,108.0192,1362.617526
0.33_108.0303m/z,0.33,108.0303,969.0783505
0.33_108.0556m/z,0.33,108.0556,161.1587629
0.33_109.9984m/z,0.33,109.9984,594.3206186
0.33_111.0301m/z,0.33,111.0301,483.0556701
0.33_112.0141m/z,0.33,112.0141,1680.616495
0.33_112.9982m/z,0.33,112.9982,1195.439175
0.33_114.0085m/z,0.33,114.0085,453.2360825
0.33_114.9330m/z,0.33,114.933,4720.760825
0.33_116.0243m/z,0.33,116.0243,2081.568041
0.33_116.9141m/z,0.33,116.9141,110.1319588
0.33_117.0191m/z,0.33,117.0191,4022.920619
0.33_119.0238m/z,0.33,119.0238,322.5886598
0.33_119.0351m/z,0.33,119.0351,975.1443299
0.33_120.0191m/z,0.33,120.0191,1756.670103
0.33_120.0304m/z,0.33,120.0304,9944.542268
0.33_120.0555m/z,0.33,120.0555,2145.856701
0.33_122.0349m/z,0.33,122.0349,1426.830928
0.33_124.0144m/z,0.33,124.0144,1665.712371
0.33_124.0254m/z,0.33,124.0254,407.0680412
0.33_124.0505m/z,0.33,124.0505,280.528866
0.33_125.9278m/z,0.33,125.9278,811.871134
0.33_126.0411m/z,0.33,126.0411,514.7608247
0.33_128.0092m/z,0.33,128.0092,2323.184536
0.33_130.0275m/z,0.33,130.0275,191.6989691
0.33_130.0400m/z,0.33,130.04,1954.901031
0.33_131.0114m/z,0.33,131.0114,147.7989691
0.33_131.0353m/z,0.33,131.0353,3108.072165
0.33_132.0193m/z,0.33,132.0193,301.0185567
0.33_132.0305m/z,0.33,132.0305,1508.840206
0.33_133.0146m/z,0.33,133.0146,777.5907216
0.33_134.0099m/z,0.33,134.0099,744.1268041
0.33_134.0349m/z,0.33,134.0349,1340.280412
0.33_135.0189m/z,0.33,135.0189,284.2185567
0.33_135.0302m/z,0.33,135.0302,1478.090722
0.33_135.0666m/z,0.33,135.0666,252.285567
0.33_136.0254m/z,0.33,136.0254,2730.640206
0.33_137.0095m/z,0.33,137.0095,3322.734021
0.33_138.0298m/z,0.33,138.0298,295.5670103
0.33_139.0251m/z,0.33,139.0251,759.6731959
0.33_140.9388m/z,0.33,140.9388,349.7360825
0.33_141.0197m/z,0.33,141.0197,2434.839175
0.33_141.9228m/z,0.33,141.9228,861.0525773
0.33_142.0400m/z,0.33,142.04,577.0670103
0.33_143.0353m/z,0.33,143.0353,2527.842268
0.33_144.0193m/z,0.33,144.0193,558.7216495
0.33_145.0146m/z,0.33,145.0146,777.0164948
0.33_145.0509m/z,0.33,145.0509,1157.016495
0.33_146.0233m/z,0.33,146.0233,37.23608247
0.33_146.0462m/z,0.33,146.0462,1834.95567
0.33_147.0302m/z,0.33,147.0302,1035.050515
0.33_150.0411m/z,0.33,150.0411,1132.289691
0.33_150.0524m/z,0.33,150.0524,367.9989691
0.33_151.0364m/z,0.33,151.0364,1868.569072
0.33_152.0205m/z,0.33,152.0205,4916.516495
0.33_152.0398m/z,0.33,152.0398,114.2804124
0.33_152.0456m/z,0.33,152.0456,99.20927835
0.33_153.0045m/z,0.33,153.0045,4873.092784
0.33_153.8677m/z,0.33,153.8677,212.7360825
0.33_155.0202m/z,0.33,155.0202,645.185567
0.33_155.0354m/z,0.33,155.0354,1616.189691
0.33_155.8648m/z,0.33,155.8648,128.4360825
0.33_156.0558m/z,0.33,156.0558,434.1835052
0.33_157.0510m/z,0.33,157.051,3699.806186
0.33_159.0302m/z,0.33,159.0302,614.9546392
0.33_159.0415m/z,0.33,159.0415,5176.408247
0.33_160.0256m/z,0.33,160.0256,1399.776289
0.33_161.0209m/z,0.33,161.0209,2367.280412
0.33_162.0050m/z,0.33,162.005,1250.093814
0.33_162.0300m/z,0.33,162.03,125.728866
0.33_163.0253m/z,0.33,163.0253,686.8515464
0.33_163.0615m/z,0.33,163.0615,494.4041237
0.33_164.0205m/z,0.33,164.0205,1013.780412
0.33_165.9342m/z,0.33,165.9342,1323.171134
0.33_166.0363m/z,0.33,166.0363,1648.471134
0.33_167.0203m/z,0.33,167.0203,1163.998969
0.33_168.0307m/z,0.33,168.0307,2040.239175
0.33_169.0149m/z,0.33,169.0149,275.9309278
0.33_170.0212m/z,0.33,170.0212,192.3443299
0.33_170.0464m/z,0.33,170.0464,1663.882474
0.33_172.0258m/z,0.33,172.0258,809.5876289
0.33_172.0620m/z,0.33,172.062,2823.785567
0.33_173.0460m/z,0.33,173.046,994.5113402
0.33_173.0573m/z,0.33,173.0573,3678.158763
0.33_174.0414m/z,0.33,174.0414,1820.56701
0.33_175.0478m/z,0.33,175.0478,997.6742268
0.33_176.0207m/z,0.33,176.0207,1168.689691
0.33_176.0319m/z,0.33,176.0319,2100.770103
0.33_177.0160m/z,0.33,177.016,2010.14433
0.33_177.0410m/z,0.33,177.041,448.7041237
0.33_178.0000m/z,0.33,178,929.9989691
0.33_179.0318m/z,0.33,179.0318,1600.853608
0.33_179.0565m/z,0.33,179.0565,145.657732
0.33_180.0157m/z,0.33,180.0157,1413.434021
0.33_180.9998m/z,0.33,180.9998,1184.293814
0.33_182.0464m/z,0.33,182.0464,3500.095876
0.33_184.0257m/z,0.33,184.0257,1002.395876
0.33_184.0371m/z,0.33,184.0371,1365.410309
0.33_185.0461m/z,0.33,185.0461,289.4123711
0.33_187.0368m/z,0.33,187.0368,2186.103093
0.33_188.0209m/z,0.33,188.0209,770.4824742
0.33_191.0318m/z,0.33,191.0318,1992.503093
0.33_192.0159m/z,0.33,192.0159,907.1845361
0.33_192.0275m/z,0.33,192.0275,445.1783505
0.33_192.0636m/z,0.33,192.0636,133.7061856
0.33_193.0475m/z,0.33,193.0475,558.8917526
0.33_194.0434m/z,0.33,194.0434,986.1494845
0.33_195.0267m/z,0.33,195.0267,1131.451546
0.33_195.8104m/z,0.33,195.8104,4403.047423
0.33_196.0374m/z,0.33,196.0374,109.1164948
0.33_197.8075m/z,0.33,197.8075,5623.32268
0.33_198.0416m/z,0.33,198.0416,445.8845361
0.33_199.0370m/z,0.33,199.037,1292.417526
0.33_199.0619m/z,0.33,199.0619,129.2329897
0.33_199.8046m/z,0.33,199.8046,2778.447423
0.33_201.0525m/z,0.33,201.0525,1746.37732
0.33_201.0771m/z,0.33,201.0771,429.214433
0.33_202.0366m/z,0.33,202.0366,1294.216495
0.33_202.0728m/z,0.33,202.0728,645.8546392
0.33_203.0568m/z,0.33,203.0568,131.7659794
0.33_204.0272m/z,0.33,204.0272,1183.785567
0.33_205.0113m/z,0.33,205.0113,894.6731959
0.33_206.0316m/z,0.33,206.0316,183.4618557
0.33_206.0431m/z,0.33,206.0431,993.3845361
0.33_207.0270m/z,0.33,207.027,819.3061856
0.33_209.0579m/z,0.33,209.0579,809.657732
0.33_214.0481m/z,0.33,214.0481,1674.916495
0.33_215.0322m/z,0.33,215.0322,696.2154639
0.33_216.8537m/z,0.33,216.8537,22388.58351
