Compound_ID,MZ,RT,Intensity,Metabolite
QI01,622.4432,6.45,3505565.076,001_C24:0 PC
QI02,468.3079,4.34,383829.0013,002_C14:0 LPC
QI03,494.3234,4.48,1057367.739,003_C16:1 LPC
QI04,496.3389,4.82,34016926,004_C16:0 LPC
QI05,520.3391,4.66,11083352.18,005_C18:2 LPC
QI06,522.3547,4.99,8951556.017,006_C18:1 LPC
QI07,524.3704,5.38,12518528.77,007_C18:0 LPC
QI08,542.3218,4.55,831960.9769,008_C20:5 LPC
QI09,544.3393,4.68,2455441.778,009_C20:4 LPC
QI10,518.3209,4.82,11680361.76,010_C20:3 LPC
QI11,568.3391,4.66,675239.9649,011_C22:6 LPC
QI12,454.2921,4.84,57936.25265,013_C16:0 LPE
QI13,478.2921,4.67,143712.2186,014_C18:2 LPE
QI14,480.3077,5,65287.39228,015_C18:1 LPE
QI15,482.3235,5.39,80250.5791,016_C18:0 LPE
QI16,502.2919,4.69,114021.9396,017_C20:4 LPE
QI17,510.3548,5.09,2434659.206,018_C20:0 LPE
QI18,526.2918,4.67,92465.66139,019_C22:6 LPE
QI19,538.3862,5.68,30394.06749,020_C22:0 LPE
QI20,704.5212,7.74,350687.8706,021_C30:1 PC
QI21,706.5365,8.08,2826681.298,022_C30:0 PC
QI22,730.5365,7.9,4638274.748,023_C32:2 PC
QI23,732.5523,8.24,18510166.75,024_C32:1 PC
QI24,734.5679,8.55,16242781.29,025_C32:0 PC
QI25,754.5365,7.92,1740137.787,026_C34:4 PC
QI26,758.5678,8.38,573587760.2,028_C34:2 PC
QI27,760.5835,8.7,264592654.2,029_C34:1 PC
QI28,762.5988,8.99,3716071.038,030_C34:0 PC
QI29,782.5672,8.41,273579488.1,032_C36:4 PC-B
QI30,786.5985,8.85,369306564.7,034_C36:2 PC
QI31,788.6149,9.13,49638625.72,035_C36:1 PC
QI32,806.5671,8.35,118242052.7,037_C38:6 PC
QI33,810.598,8.87,208591082.7,038_C38:4 PC
QI34,812.6144,9,62310512.71,039_C38:3 PC
QI35,814.6302,9.22,6234710.372,040_C38:2 PC
QI36,826.534,8.04,891265.1103,041_C40:10 PC
QI37,828.549,8.34,27503504.11,042_C40:9 PC
QI38,834.5981,8.8,49390337.67,043_C40:6 PC
QI39,738.5423,8.92,87860.03892,044_C34:5 PC plasmalogen
QI40,740.5541,8.61,22128.69444,045_C34:4 PC plasmalogen
QI41,742.573,8.68,9023267.371,046_C34:3 PC plasmalogen
QI42,744.5884,8.98,2902388.416,047_C34:2 PC plasmalogen
QI43,746.6039,8.98,5719205.642,048_C34:1 PC plasmalogen-A
