Compound_ID,MZ,RT,Intensity,Metabolite
1.69_121.1014m/z,121.1014,1.69,40329.32,1.2.4-trimethylbenzene
3.57_197.0669m/z,197.0669,3.57,117400.93,"1,7-dimethyluric acid"
7.74_282.1194m/z,282.1194,7.74,16491,1-methyladenosine
5.27_166.0723m/z,166.0723,5.27,22801.91,1-methylguanine
5.12_298.1143m/z,298.1143,5.12,41602.96,1-methylguanosine
9.58_126.1028m/z,126.1028,9.58,3004.32,1-methylhistamine
8.25_137.0709m/z,137.0709,8.25,329755.59,1-methylnicotinamide
5.30_298.1143m/z,298.1143,5.3,1575.5,2-methylguanosine
5.09_313.0848m/z,313.0848,5.09,42335.94,3-(N-acetyl-L-cystein-S-yl) acetaminophen
9.83_170.0923m/z,170.0923,9.83,450965.85,3-methylhistidine
3.38_146.0811m/z,146.0811,3.38,1917.02,4-acetamidobutanoate
5.31_199.0825m/z,199.0825,5.31,13675.31,5-acetylamino-6-amino-3-methyluracil
3.58_157.0608m/z,157.0608,3.58,676.1,5-hydroxymethy-4-methyluracil
1.92_178.0863m/z,178.0863,1.92,10041.57,5-Hydroxytryptophol
6.00_258.1067m/z,258.1067,6,7535.83,5-methylcytidine
4.33_153.0407m/z,153.0407,4.33,19592.59,6.8-dihydroxypurine
5.81_166.0723m/z,166.0723,5.81,90130.52,7-methylguanine
3.59_167.0563m/z,167.0563,3.59,55535.75,7-methylxanthine
5.31_284.0987m/z,284.0987,5.31,28039.16,8-Hydroxy-deoxyguanosine
1.94_152.0705m/z,152.0705,1.94,83600.28,acetaminophen
7.81_146.1175m/z,146.1175,7.81,2084.54,acetylcholine
5.06_268.1037m/z,268.1037,5.06,24294.57,adenosine
7.88_90.0557m/z,90.0557,7.88,176879.19,alanine
3.44_159.0512m/z,159.0512,3.44,11881.63,allantoin
10.50_258.1099m/z,258.1099,10.5,397955.74,alpha-glycerophosphocholine
9.19_175.1189m/z,175.1189,9.19,2792453.1,arginine
7.97_133.0608m/z,133.0608,7.97,76608.04,asparagine
6.91_267.1700m/z,267.17,6.91,39354.33,atenolol
9.03_118.0865m/z,118.0865,9.03,14088196.48,betaine
1.62_585.2701m/z,585.2701,1.62,11502435.04,bilirubin
1.92_583.2546m/z,583.2546,1.92,1393839.16,biliverdin
8.79_146.1175m/z,146.1175,8.79,830165.38,butyrobetaine
7.19_316.2478m/z,316.2478,7.19,389885.21,C10 carnitine
7.30_312.2165m/z,312.2165,7.3,16166.78,C10:2 carnitine
7.02_344.2791m/z,344.2791,7.02,138454.81,C12 carnitine
7.04_342.2635m/z,342.2635,7.04,214573.03,C12:1 carnitine
6.89_372.3105m/z,372.3105,6.89,62230.67,C14 carnitine
7.95_468.3082m/z,468.3082,7.95,967454.62,C14:0 LPC
7.40_675.5425m/z,675.5425,7.4,1199845.43,C14:0 SM
6.89_370.2948m/z,370.2948,6.89,233706.39,C14:1 carnitine
6.93_368.2791m/z,368.2791,6.93,142469.96,C14:2 carnitine
6.77_400.3417m/z,400.3417,6.77,172162,C16 carnitine
7.82_496.3394m/z,496.3394,7.82,51203517.99,C16:0 LPC_B
6.42_454.2924m/z,454.2924,6.42,371470.22,C16:0 LPE
7.29_703.5736m/z,703.5736,7.29,34050464.62,C16:0 SM
7.87_494.3239m/z,494.3239,7.87,2005595.72,C16:1 LPC
7.68_480.3445m/z,480.3445,7.68,130447.16,C16:1 LPC plasmalogen
6.67_428.3736m/z,428.3736,6.67,43289.16,C18 carnitine
7.71_524.3709m/z,524.3709,7.71,10367615.65,C18:0 LPC
6.35_482.3240m/z,482.324,6.35,462455.2,C18:0 LPE
7.22_731.6045m/z,731.6045,7.22,8193010.61,C18:0 SM
6.69_426.3574m/z,426.3574,6.69,267139.65,C18:1 carnitine
7.75_522.3551m/z,522.3551,7.75,9586519.84,C18:1 LPC
7.86_508.3760m/z,508.376,7.86,281006.87,C18:1 LPC plasmalogen_A
7.55_508.3760m/z,508.376,7.55,48467.63,C18:1 LPC plasmalogen_B
6.37_480.3085m/z,480.3085,6.37,506761.45,C18:1 LPE
6.75_424.3417m/z,424.3417,6.75,186276.43,C18:2 carnitine
6.40_478.2925m/z,478.2925,6.4,1046004.24,C18:2 LPE
8.71_204.1229m/z,204.1229,8.71,11989967.68,C2 carnitine
6.58_456.4046m/z,456.4046,6.58,2534.33,C20 carnitine
7.16_759.6358m/z,759.6358,7.16,5735887.23,C20:0 SM
6.64_448.3417m/z,448.3417,6.64,14285.94,C20:4 carnitine
