Compound_ID,MZ,RT,Intensity,Annotation_ID
QI13914,272.1283438,2.0061,14772.85415,"(E,E)-Trichostachine"
QI3362,197.0673945,3.512616667,99595.3241,"1,7-Dimethyluric acid"
QI2195,347.2220126,2.023933333,7357.413871,11-Deoxycortisol
QI14344,301.2162573,1.8624,869.9687828,13-cis-Retinoic acid
QI15123,634.6500735,1.6429,185184.2368,1-DeoxyCer 18:0;O2/24:1
QI9103,137.0710429,8.286366667,374490.7654,1-Methyl nicotinamide
QI6384,282.1197966,7.7136,39981.40061,1-Methyladenosine
QI4550,166.0725983,5.24195,26959.21942,1-Methylguanine
QI7339,126.1030961,9.651083333,1273.408141,1-Methylhistamine
QI12336,183.0516881,3.846216667,63467.81137,1-Methyluric acid
QI10321,160.1333672,6.4555,16915.52656,2-Aminooctanoic acid
QI11436,298.1147717,5.093616667,61949.22632,2'-O-Methylguanosine
QI4397,313.0855176,4.9911,166076.7457,3-(N-Acetyl-L-cystein-S-yl) acetaminophen
QI8825,146.1176906,8.8154,1108494.689,3-Dehydroxycarnitine
QI14484,154.0501406,1.822283333,1955.14443,3-Hydroxyanthranilic acid
QI2875,196.0609132,2.625633333,160061.1913,3-Hydroxyhippuric acid
QI6497,134.0814597,7.86175,7158.765892,3-hydroxynorvaline
QI10388,168.1021783,6.370816667,865.4536999,3-Methoxytyramine
QI8514,170.0926605,9.829366667,1038643.553,3-Methylhistidine
QI3295,167.0566306,3.325416667,70398.56523,3-Methylxanthine
QI3334,146.0813168,3.450216667,114136.6111,4-Acetamidobutanoic acid
QI2520,195.076892,2.362666667,59778.18929,4-Aminohippuric acid
QI4603,199.0829771,5.314466667,66670.19752,5-Acetylamino-6-amino-3-methyluracil
QI5390,221.0924647,6.228183333,1895.502862,5-Hydroxy-tryptophan
QI1776,178.0865674,1.96045,10387.97146,5-Hydroxytryptophol
QI10928,258.1087227,5.728983333,57958.75349,5-Methylcytidine
QI12109,298.097408,4.261116667,343.5259111,5'-Methylthioadenosine
QI1495,401.3412403,1.853483333,44155.78841,7alpha-Hydroxy-4-cholesten-3-one
QI5016,166.0725851,5.80475,201821.8426,7-Methylguanine
QI12474,167.0566387,3.616383333,47331.61385,7-Methylxanthine
QI4296,259.103962,4.8886,11045.08188,Acadesine
QI2188,152.0708123,2.023933333,471213.9428,Acetaminophen
QI6455,146.1176962,7.826083333,2540.612527,Acetylcholine
QI4977,185.1288311,5.751266667,893794.3119,Acisoga
QI11464,268.1044662,5.031216667,4240.860641,Adenosine
